"titles","citations","authors","descriptions","year","links","dois"
"A Specific Test for Cervical Dizziness","SPNT Test - Ann J Otol, 1998 - carrickinstitutenotes.s3.amazonaws …","SPNT Test","Objective: This study aimed to determine how the smooth pursuit neck torsion (SPNT) test is affected by various dis-eases associated with disturbances in balance and arising in the …","1998","http://carrickinstitutenotes.s3.amazonaws.com/2019+TBI/TBI+2+/Smooth+pursuit+neck+torsion+test-+a+specific+test+for+cervical+dizziness.pdf",NA
"Alternative to mental hospital treatment: I. Conceptual model, treatment program, and clinical evaluation","LI Stein, MA Test - Archives of general psychiatry, 1980 - jamanetwork.com","LI Stein; MA Test","&#8226; A conceptual model for the development of communitybased treatment programs for the chronically disabled psychiatric patient was developed, and the results of a controlled study …","1980","https://jamanetwork.com/journals/jamapsychiatry/article-abstract/492295",NA
"Evidence-based secondary transition predictors for improving postschool outcomes for students with disabilities","DW Test, VL Mazzotti, AL Mustian… - Career …, 2009 - journals.sagepub.com","DW Test; VL Mazzotti; AL Mustian...","The purpose of this study was to conduct a systematic review of the secondary transition correlational literature to identify in-school predictors of improved postschool outcomes in the …","2009","https://journals.sagepub.com/doi/abs/10.1177/0885728809346960","10.1177/0885728809346960"
"Effects of interventions to promote self-determination for individuals with disabilities","…, D Browder, M Karvonen, DW Test… - Review of …, 2001 - journals.sagepub.com","...; D Browder; M Karvonen; DW Test...","Self-determination, the combination of skills, knowledge, and beliefs that enable a person to engage in goal-directed, self-regulated, autonomous behavior, has become an important …","2001","https://journals.sagepub.com/doi/abs/10.3102/00346543071002219","10.3102/00346543071002219"
"Evidence-based practices in secondary transition","DW Test, CH Fowler, SM Richter… - Career …, 2009 - journals.sagepub.com","DW Test; CH Fowler; SM Richter...","A literature review was conducted to identify evidence-based practices in secondary transition using quality indicator checklists for experimental research. Practices were categorized by …","2009","https://journals.sagepub.com/doi/abs/10.1177/0885728809336859","10.1177/0885728809336859"
"with Pelshenke and Zeleny Tests&#39;","SDS Test - Cereal Chem, 1979 - cerealsgrains.org","SDS Test","… In the case of CBP volumes, the correlation coefficients derived from the SDS tests were significantly different at the 19% level from that derived from the Zeleny test but not significantly …","1979","https://www.cerealsgrains.org/publications/cc/backissues/1979/Documents/Chem56_582.pdf",NA
"Models and helping: naturalistic studies in aiding behavior.","JH Bryan, MA Test - Journal of personality and social psychology, 1967 - psycnet.apa.org","JH Bryan; MA Test","… Test and Bryan 4 found that female college students were more likely to render aid to another in … The present series of experiments was designed to test the effects of models in natural …","1967","https://psycnet.apa.org/record/1967-13475-001",NA
"Oxidative autoactivation of latent collagenase by human neutrophils","SJ Weiss, G Peppin, X Ortiz, C Ragsdale, ST Test - Science, 1985 - science.org","SJ Weiss; G Peppin; X Ortiz; C Ragsdale; ST Test","The pathological destruction of collagen plays a key role in the development of inflammatory disease states affecting every organ system in the human body. Neutrophils localized at …","1985","https://www.science.org/doi/abs/10.1126/science.2982211","10.1126/science.2982211"
"Alternative to mental hospital treatment: II. Economic benefit-cost analysis","BA Weisbrod, MA Test, LI Stein - Archives of general psychiatry, 1980 - jamanetwork.com","BA Weisbrod; MA Test; LI Stein","&#8226; A cost-benefit analysis should be seen not as a mechanism for deciding mechanically on the allocation of funds and resources among programs but as a structure for weighing …","1980","https://jamanetwork.com/journals/jamapsychiatry/article-abstract/492296",NA
"A conceptual framework of self-advocacy for students with disabilities","DW Test, CH Fowler, WM Wood… - Remedial and …, 2005 - journals.sagepub.com","DW Test; CH Fowler; WM Wood...","Based on a review of the literature and input from stakeholders, we developed a conceptual framework of self-advocacy involving four components: knowledge of self, knowledge of …","2005","https://journals.sagepub.com/doi/abs/10.1177/07419325050260010601","10.1177/07419325050260010601"
